topic_id,words
0,"ditiup, sangkakala, tangan, tunggulah, timbangan, juj, diam, menunggu, kelak, patuh"
1,"kafir, orang, tertinggal, istrinya, neraka, menyediakan, daya, makkah, tipu, cahaya"
2,"malaikat, utusan, mencabut, bersujud, iblis, enggan, ingatlah, adam, bertasbih, nyawanya"
3,"alquran, kitab, ayat, diturunkan, kebenaran, benar, hikmah, berulang, ulang, diturunkannya"
4,"perempuan, laki, istri, suami, wanita, anak, menikahi, menikah, saudara, sahaya"
5,"saksi, ayat, beriman, petunjuk, kesaksian, alkitab, pencatat, ahlulkitab, allah, orang"
6,"langit, bumi, milik, nyalah, kerajaan, maha, menciptakan, bertasbih, allahlah, bijaksana"
7,"salat, berdoa, melaksanakan, doa, zakat, menegakkan, menunaikan, menginfakkan, rezeki, salatnya"
8,"setan, iblis, angan, perbuatan, berdua, menyesatkan, menjanjikan, riba, indah, musuh"
9,"neraka, jahanam, penghuni, kekal, ayat, dalamnya, masuk, azab, jahim, keluarlah"
10,"menciptakan, roh, menyusun, tubuh, manusia, menciptakannya, ciptaan, penciptaan, menyempurnakan, bentuk"
11,"muhammad, nabi, engkau, olokkan, rasul, perang, kesedihan, rampasan, kepadamu, negeri"
12,"hujan, air, angin, awan, menurunkan, langit, kering, mengandung, bumi, tandus"
13,"al, qqah, ri, azab, ah, zulkifli, serba, syafaat, permadani, kiamat"
14,"nabi, muhammad, bumi, menghidupkannya, langit, sifat, milik, sekutu, jibril, kuasa"
15,"takut, lapisan, membunuhku, khawatir, tuhannya, bersedih, ditakuti, mana, salatlah, ku"
16,"sungai, bawahnya, mengalir, surga, dalamnya, kekal, air, taman, adn, sutra"
17,"hewan, sapi, ternak, kuda, daging, disembelih, tujuh, sepasang, ekor, memakannya"
18,"surga, kenikmatan, penghuni, penuh, kekal, beramal, dalamnya, saleh, masuklah, didekatkan"
19,"sesat, kufur, celaka, rugi, lakukan, menimbang, syu, aib, orang, benar"
20,"akhirat, kehidupan, dunia, kematian, mati, hidup, lalai, sekarat, pulalah, ajalnya"
