num_topics,topic_id,words
5,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
5,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
5,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
5,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
10,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
10,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
10,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
10,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
15,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
15,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
15,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
15,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
20,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
20,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
20,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
20,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
25,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
25,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
25,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
25,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
30,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
30,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
30,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
30,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
35,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
35,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
35,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
35,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
40,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
40,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
40,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
40,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
45,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
45,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
45,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
45,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
50,0,"orang, allah, benar, maha, engkau, nya, nabi, beriman, muhammad, kepadamu"
50,1,"api, panas, air, gelas, minum, mendidih, minuman, jin, tembaga, nyala"
50,2,"kebun, buah, pohon, buahan, kurma, tanaman, menumbuhkan, anggur, buahnya, bijian"
50,3,"gunung, bumi, batu, berguncang, dihancurkan, rumah, kukuh, atasnya, memancangkan, pancangkan"
