num_topics,topic_id,words
5,-1,"orang, allah, benar, nya, maha, engkau, nabi, kepadamu, muhammad, rasul"
5,0,"orang, allah, maha, benar, engkau, nabi, beriman, muhammad, laki, perempuan"
5,1,"gunung, neraka, kaum, air, dipan, mendustakan, malaikat, buah, manusia, pendusta"
5,2,"bertakwalah, taatlah, kepadaku, allah, sembahlah, umat, berkurbanlah, membuatku, kepada, bersujudlah"
5,3,"semesta, sejahtera, alam, tuhan, salam, puji, limpahkan, kesejahteraan, ilyas, selamat"
10,-1,"orang, allah, nya, benar, maha, engkau, kepadamu, nabi, beriman, rasul"
10,0,"orang, allah, nabi, engkau, muhammad, laki, perempuan, beriman, benar, maha"
10,1,"neraka, malam, manusia, azab, kiamat, jalan, langit, jahim, api, bintang"
10,2,"orang, aun, fir, berhala, kaum, musa, mendustakan, bala, celakalah, kebenaran"
10,3,"maha, penyayang, pengampun, allah, perkasa, bijaksana, tobat, pengasih, bertobat, menerima"
10,4,"gunung, dipan, buah, air, buahan, kebun, bidadari, taman, kapal, mata"
10,5,"benar, ayat, kitab, lembaran, alquran, kebanyakan, tanda, kekuasaan, sungguh, arab"
10,6,"dustakan, manakah, jin, nikmat, tuhanmu, manusia, tangguhkanlah, usia, iblis, dibangkitkan"
10,7,"bertakwalah, taatlah, kepadaku, allah, sembahlah, berkurbanlah, umat, membuatku, laksanakanlah, terhina"
10,8,"semesta, sejahtera, alam, tuhan, salam, puji, limpahkan, kesejahteraan, ilyas, selamat"
15,-1,"orang, allah, nya, maha, benar, kepadamu, nabi, engkau, muhammad, rasul"
15,0,"orang, allah, engkau, beriman, perempuan, nabi, laki, azab, muhammad, maha"
15,1,"manusia, malam, neraka, azab, kiamat, jalan, langit, alquran, jahim, anak"
15,2,"benar, alquran, kitab, sungguh, mendustakan, ayat, kebenaran, rasul, kaum, kebanyakan"
15,3,"gunung, dipan, api, air, bidadari, panas, sangkakala, menciptakan, kapal, musa"
15,4,"maha, penyayang, pengampun, allah, perkasa, tobat, bijaksana, pengasih, bertobat, menerima"
15,5,"hamba, muhammad, nabi, pemberi, peringatan, engkau, pembawa, terpilih, keikhlasannya, gembira"
15,6,"fir, aun, tentaranya, bala, musa, pemuka, kaumnya, penyihir, kaum, haman"
15,7,"buah, buahan, kebun, taman, mata, kurma, pohon, air, surga, menumbuhkan"
15,8,"berhala, laki, anak, perempuan, kehendaki, menyembah, kalangan, memilihkan, menyentuhku, perlindungan"
15,9,"dustakan, manakah, jin, nikmat, tuhanmu, manusia, dibenci, ragukan, larangan, kejahatan"
15,10,"negeri, binasakan, membinasakan, betapa, penduduk, penyihir, negerimu, kaum, semut, generasi"
15,11,"celakalah, pendusta, kebenaran, biarkanlah, merambah, pencela, terbuktilah, pengumpat, kepalsuan, bergelimang"
15,12,"bertakwalah, taatlah, kepadaku, allah, sembahlah, berkurbanlah, membuatku, umat, laksanakanlah, terhina"
15,13,"sejahtera, semesta, alam, tuhan, salam, puji, limpahkan, kesejahteraan, ilyas, selamat"
20,-1,"orang, allah, nya, benar, kepadamu, maha, engkau, nabi, muhammad, rasul"
20,0,"orang, allah, engkau, perempuan, beriman, nabi, azab, laki, muhammad, sungai"
20,1,"malam, manusia, kiamat, jalan, langit, miskin, gulita, anak, gelap, hartanya"
20,2,"maha, tanda, penyayang, allah, kebesaran, langit, pengampun, bumi, perkasa, bijaksana"
20,3,"nabi, muhammad, peringatan, pemberi, ishaq, lauhulmahfuz, kitab, qub, ya, musa"
20,4,"gunung, dipan, bidadari, sangkakala, kapal, menciptakan, tiupan, ditiup, wajah, laut"
20,5,"mendustakan, kaum, celakalah, pendusta, kebenaran, membinasakan, daya, tipu, pendurhaka, samud"
20,6,"benar, kebanyakan, tanda, kekuasaan, sungguh, beriman, manusia, pendusta, tingkat, sunatullah"
20,7,"fir, aun, tentaranya, bala, musa, pemuka, penyihir, laut, kaumnya, haman"
20,8,"neraka, api, azab, jahim, saqar, memasuki, pedih, kelak, tahukah, hawiyah"
20,9,"buah, buahan, kebun, taman, mata, pohon, kurma, air, surga, menumbuhkan"
20,10,"alquran, kitab, lembaran, ayat, dongeng, arab, catatan, orang, amal, terperinci"
20,11,"hamba, terpilih, keikhlasannya, bersabar, bersamaku, engkau, sanggup, sisi, anugerahkan, tugas"
