num_topics,topic_id,words
5,0,"allah, bumi, langit, air, maha, orang-orang, engkau, menjadikan, kaum, tanda-tanda, benar-benar, manusia, menciptakan, malam, mati"
5,1,"orang-orang, allah, beriman, orang, azab, neraka, kafir, kufur, nabi, dunia, kepadamu, sungguh, jalan, muhammad, berbuat"
5,2,"allah, maha, orang-orang, kepadamu, orang, penyayang, bumi, nabi, tuhan, pengampun, beriman, muhammad, engkau, berbuat, kepada-nya"
5,3,"allah, engkau, nabi, orang-orang, muhammad, kepadamu, alquran, sungguh, orang, benar-benar, manusia, tuhan, petunjuk, kitab, tuhanmu"
5,4,"allah, perempuan, laki-laki, orang, anak, orang-orang, harta, engkau, bagimu, saudara, anak-anak, maha, kepadamu, istri, hamba"
10,0,"allah, orang-orang, petunjuk, orang, beriman, nabi, muhammad, alquran, agama, kitab, jalan, engkau, manusia, mengikuti, menjadikan"
10,1,"allah, orang-orang, beriman, orang, maha, kepadamu, nabi, mukmin, muhammad, berbuat, niscaya, jalan, berperang, rasul-nya, kafir"
10,2,"engkau, nabi, muhammad, allah, kepadamu, orang-orang, alquran, sungguh, kitab, tuhan, rasul, benar-benar, tuhanmu, peringatan, manusia"
10,3,"orang-orang, allah, engkau, sungguh, benar-benar, kaum, azab, orang, zalim, negeri, beriman, kepadamu, berbuat, tipu, kafir"
10,4,"allah, maha, bumi, langit, tuhan, kehendaki, tuhanmu, manusia, menciptakan, penyayang, engkau, menjadikan, nabi, kepada-nya, benar-benar"
10,5,"allah, orang-orang, azab, neraka, orang, dunia, kufur, akhirat, manusia, kiamat, kehidupan, beriman, balasan, kafir, kerjakan"
10,6,"air, allah, engkau, bumi, musa, langit, hujan, kaum, tanda-tanda, benar-benar, orang-orang, ingatlah, orang, berfirman, kebesaran"
10,7,"allah, orang, anak, kepadamu, maha, orang-orang, hewan, engkau, ibrahim, bagimu, nama, ingatlah, manusia, daging, tuhanmu"
10,8,"perempuan, allah, laki-laki, maha, anak, saudara, orang, orang-orang, bagimu, harta, anak-anak, istri, perempuan-perempuan, hamba, sahaya"
10,9,"orang-orang, allah, surga, dalamnya, beriman, engkau, neraka, sungai-sungai, kekal, tuhan, saleh, mengalir, bawahnya, kepadamu, orang"
15,0,"orang-orang, allah, orang, engkau, beriman, azab, kaum, nabi, muhammad, kafir, sungguh, kepadamu, zalim, benar-benar, petunjuk"
15,1,"allah, bumi, langit, maha, menciptakan, manusia, hewan, menjadikan, tuhan, air, mati, daging, makhluk, kuasa, kepadamu"
15,2,"allah, manusia, menjadikan, orang-orang, ingatlah, kepadamu, tuhanmu, berfirman, engkau, setan, golongan, jin, nikmat, orang, adam"
15,3,"allah, malam, engkau, maha, tanda-tanda, siang, orang, langit, bumi, matahari, menjadikan, kebesaran, tuhanmu, benar-benar, orang-orang"
15,4,"perempuan, allah, laki-laki, anak, orang, harta, orang-orang, saudara, anak-anak, istri, perempuan-perempuan, bagimu, sahaya, hamba, suami"
15,5,"allah, orang-orang, orang, berbuat, beriman, kepadamu, haji, adil, wajib, bertakwalah, melanggar, nabi, miskin, benar-benar, berpuasa"
15,6,"musa, engkau, kepadamu, allah, orang-orang, orang, fir'aun, kaum, sungguh, ingatlah, benar-benar, israil, membawa, bani, tipu"
15,7,"orang-orang, allah, beriman, surga, dalamnya, neraka, kekal, sungai-sungai, mengalir, saleh, bawahnya, pahala, beramal, tuhan, balasan"
15,8,"engkau, allah, tuhan, maha, tuhanku, nabi, ibrahim, muhammad, kepadaku, kepadamu, musa, anak, orang-orang, ingatlah, manusia"
15,9,"orang-orang, allah, azab, neraka, dunia, orang, kehidupan, manusia, kiamat, kufur, akhirat, engkau, kafir, ayat-ayat, jahanam"
15,10,"allah, orang-orang, kepadamu, maha, petunjuk, tuhanmu, tuhan, orang, bagimu, berbuat, engkau, bumi, muhammad, kepada-nya, jalan"
15,11,"allah, orang-orang, nabi, muhammad, alquran, kepadamu, engkau, kitab, beriman, sungguh, rasul, benar-benar, kebenaran, petunjuk, orang"
15,12,"air, hujan, allah, bumi, langit, pohon, kaum, angin, menurunkan, awan, batu, kurma, menumbuhkan, tanaman, kebun"
15,13,"allah, maha, orang-orang, penyayang, pengampun, nabi, niscaya, kepadamu, kehendaki, bumi, bijaksana, perkasa, beriman, muhammad, orang"
