num_topics,topic_id,words
5,0,"membalutnya, menikahkanmu, dihidupsuburkannya, hunain, sombongkan, hebatnya, bernazar, sesukamu, hapuskanlah, mewariskannya"
5,1,"membalutnya, hapuskanlah, ibukotanya, menikahkanmu, penanya, penipuan, persiapkanlah, titipkan, kejengkelan, dihidupsuburkannya"
5,2,"orang, rasul, kufur, kafir, allah, ayat, zalim, laki, alquran, nabi"
5,3,"berendahhatilah, ibukotanya, membalutnya, penanya, persiapkanlah, kejengkelan, hapuskanlah, menikahkanmu, induk, sombongkan"
5,4,"nya, tuhan, bumi, maha, tanda, kepada, allah, langit, penyayang, karunia"
10,0,"menidurkan, juru, sebelas, lombalah, sepersepuluh, pencinta, terpilih, kakekmu, mencipta, sah"
10,1,"nabi, muhammad, allah, engkau, rasul, kepadamu, nya, alquran, petunjuk, benar"
10,2,"buruk, azab, neraka, mukmin, kufur, munafik, orang, dunia, berbuat, akhirat"
10,3,"menidurkan, mewajibkannya, bertanyalah, rebah, seperlimanya, sepersepuluh, pengunjung, juru, kerugiannya, mencipta"
10,4,"maha, langit, bumi, tanda, tuhanmu, bijaksana, perkasa, penyayang, benar, tuhanku"
10,5,"orang, allah, mukmin, beriman, laki, perempuan, ayat, kafir, jalan, nabi"
10,6,"mencipta, rebah, kerugiannya, pengunjung, pekerjakan, dibolehkan, diadakan, menagihnya, keberpalingan, mengqasar"
10,7,"juru, menidurkan, rencanakan, kabut, khilaflah, kurajam, tepatilah, mencipta, jelek, digelincirkan"
10,8,"menidurkan, adakannya, rebah, menamai, sepersepuluh, mencipta, lombalah, juru, sempurnakan, pekerjakan"
10,9,"muhammad, nabi, alquran, engkau, tuhanmu, benar, rezeki, tuhanku, sungguh, kepadamu"
15,0,"berkelahi, menantu, atom, pencinta, ikatkan, menzihar, resmi, mihrabnya, mulah, nyawamu"
15,1,"berkelahi, nyawamu, menantu, sengaja, pencinta, ibu, mengairi, atom, dadalah, biara"
15,2,"dikembalikan, penjuru, berbolak, manakah, zat, tuhanku, nyawamu, berfirman, pelindung, sangkakan"
15,3,"berkelahi, pencinta, samud, nyawamu, sekilas, diampuni, dipakai, menerbitkan, gembalaannya, mendebat"
15,4,"pencinta, mendebat, diampuni, sosialnya, menyapa, resmi, menerbitkan, menantu, peminta, bergumpal"
15,5,"orang, beriman, allah, perempuan, laki, kafir, rasul, nya, mukmin, ayat"
15,6,"perkasa, berfirman, maha, tanda, bumi, engkau, allahlah, kepada, langit, bijaksana"
15,7,"allah, nya, rasul, benar, engkau, kepadamu, bumi, ayat, sungguh, bukti"
15,8,"jin, mempersekutukan, kaummu, azab, berkelahi, neraka, berangsur, hancurkan, berlindung, setan"
15,9,"orang, beriman, allah, nya, perempuan, ayat, anak, rasul, kafir, laki"
15,10,"celahnya, kaumku, alam, peringatan, kauketahui, berbolak, kaumnya, lauh, musuhnya, barat"
15,11,"berkelahi, musuhnya, mendebat, memukulnya, berlapang, sosialnya, menantu, hafsah, nyawamu, menukarkannya"
15,12,"allah, nabi, kepadamu, muhammad, nya, maha, alquran, bumi, engkau, langit"
15,13,"menantu, pencinta, menerbitkan, mendebat, membentangkannya, atom, resmi, mengairi, dipakai, peminta"
15,14,"azab, zalim, dunia, akhirat, dosa, buruk, berbuat, sungguh, surga, kufur"
20,0,"kemalangan, membelinya, guruh, berjual, saksikan, jawabanmu, perumpamaannya, menyusahkan, pelaksanaan, pengungkapan"
20,1,"orang, perempuan, beriman, ayat, laki, kafir, kufur, nabi, allah, bertakwa"
20,2,"katalah, zaman, guruh, kemalangan, bergemuruh, membelinya, perumpamaannya, bercucuran, keimanannya, terhentinya"
20,3,"pengampun, bumi, maha, hamba, tuhanmu, perkasa, tuhanku, berfirman, penyayang, bijaksana"
20,4,"nya, maha, allah, bumi, tanda, karunia, menjadikan, engkau, tuhan, langit"
20,5,"allah, kepadamu, petunjuk, nabi, kufur, rasul, muhammad, engkau, ayat, saleh"
20,6,"bumi, langit, maha, menciptakan, nya, milik, bijaksana, perkasa, tuhan, kepada"
20,7,"bercucuran, katalah, mengembuskan, kecerobohan, zaman, berjual, tabut, bergemuruh, pengolok, tuntutan"
20,8,"orang, ayat, allah, kepadamu, beriman, rasul, kafir, nabi, benar, muhammad"
20,9,"orang, allah, beriman, perempuan, anak, rasul, laki, mukmin, saudara, nabi"
20,10,"kufur, azab, buruk, kafir, dunia, akhirat, benar, zalim, neraka, munafik"
20,11,"allah, nya, nabi, muhammad, beriman, kepadamu, rasul, alquran, manusia, engkau"
20,12,"katalah, buta, nyala, musa, kemarahan, takut, perkataan, timbanya, tunaikanlah, silih"
20,13,"niscaya, kepadamu, mendengar, nabi, muhammad, surga, jalan, engkau, petunjuk, nyata"
20,14,"kemalangan, katalah, guruh, bercucuran, membelinya, kepemilikan, berselawatlah, keimanannya, tertumpah, membuka"
20,15,"kemalangan, jahanam, membelinya, katalah, jin, yag, negeri, dustakan, lut, mendustakan"
20,16,"fisik, berjual, zaman, menyisakan, tunas, hitunglah, harut, berterima, guruh, rah"
20,17,"bumi, maha, langit, tuhan, perkasa, tanda, tuhanmu, nya, hamba, menurunkan"
20,18,"menyisakan, tabut, perkenankan, kecerobohan, membelinya, dibayar, sisa, kemusyrikanmu, rah, tegaknya"
20,19,"kufur, azab, saleh, sungguh, niscaya, kafir, ayat, orang, rasul, surga"
25,0,"mengusirnya, mengasuhmu, auratmu, menghalalkan, digiring, hidayah, menggelisahkan, zainab, berjudi, imannya"
25,1,"ingatlah, kepadaku, musa, gembira, engkau, mengutus, manusia, kebanyakan, pemberi, benar"
25,2,"orang, allah, beriman, rasul, perempuan, mukmin, nya, ayat, muhammad, hamba"
25,3,"mengasuhmu, penyelamat, digeserkan, penindasan, murka, guruh, riba, pantai, pemusyrikan, kuncinya"
25,4,"memperbodoh, pantai, mohonkan, basah, mencemooh, zainab, harinya, mengasuhmu, penindasan, mengancam"
25,5,"kepadamu, ingatlah, engkau, tanda, kekuasaan, nabi, muhammad, petunjuk, kebenaran, rezeki"
25,6,"allah, nya, kepadamu, maha, nabi, engkau, laki, muhammad, rasul, perempuan"
25,7,"orang, kafir, laki, harta, mukmin, beriman, perempuan, anak, neraka, munafik"
25,8,"tanda, penyayang, kebesaran, langit, tuhanku, bumi, pengampun, maha, tuhan, kepada"
25,9,"mengasuhmu, oleh, memperbodoh, pantai, kemaslahatan, memperjualbelikan, takwa, menjelajah, berjudi, peralatan"
25,10,"allah, muhammad, nabi, kaum, kepadamu, nya, beriman, rasul, alquran, hamba"
25,11,"keadaanku, membajak, jelaskanlah, kirinya, dilarang, diperhatikan, gelisah, menghapus, memancar, dipakai"
25,12,"yusuf, fir, aun, seburuk, menghinakan, mendustakan, membela, sesat, diikuti, neraka"
25,13,"orang, kufur, kafir, beriman, zalim, neraka, berbuat, munafik, surga, azab"
25,14,"mengusirnya, auratmu, oleh, pantai, balig, kesengsaraan, pelarian, menjelajah, dijamu, hidayah"
25,15,"kaum, umat, bertakwalah, kepadamu, mengikuti, sungguh, azab, menerima, buruk, hati"
25,16,"tuhanmu, tuhanku, engkau, muhammad, nabi, manusia, pengampun, mengutus, tuhan, kepadamu"
25,17,"auratmu, mengusirnya, pelarian, digeserkan, guruh, penindasan, menjelajah, amanatnya, dua, berjudi"
25,18,"petunjuk, nabi, allah, muhammad, ayat, kepadamu, sungguh, orang, kitab, beriman"
25,19,"mengusirnya, mengasuhmu, balig, digeserkan, berislam, semoga, basah, kebajikannya, penindasan, rezekimu"
25,20,"maha, bumi, langit, nya, suci, tuhan, penyayang, kehendaki, perkasa, pengampun"
25,21,"orang, dosa, niscaya, azab, beriman, sungai, nabi, muhammad, rasul, berbuat"
25,22,"akhirat, buruk, neraka, mendustakan, azab, seburuk, zalim, aun, kafir, pedih"
25,23,"mencemooh, dadanya, pantai, penindasan, rujuklah, balig, bermukim, zainab, amanatnya, digeserkan"
25,24,"langit, bumi, perkasa, maha, penyayang, tuhanmu, bijaksana, tanda, pengampun, tuhan"
30,0,"berjumpa, kepadanyalah, keberadaanku, tamatu, lumpur, dituduhkan, kit, tahukanlah, ketentuannya, laut"
30,1,"kufur, balasan, tanda, engkau, sungguh, buruk, muhammad, tuhan, nabi, kitab"
30,2,"tuhanmu, alquran, tanda, perkasa, ingatlah, muhammad, mengutus, maha, tuhan, mudah"
30,3,"muhammad, nabi, engkau, maha, tuhan, kitab, allah, kepada, nya, membawa"
30,4,"mayang, menjuntai, tangkai, disuruh, kursi, keberadaanku, dituduhkan, kit, tersurat, kantuk"
30,5,"lumpur, kursi, tangkai, kit, ketentuannya, penanggungnya, pokoknya, tersurat, menawarkan, penghinaan"
30,6,"langit, maha, musa, pemberi, kerjakan, tuhanmu, taurat, nyata, bumi, muhammad"
30,7,"menjuntai, ketentuannya, ujilah, disuruh, keberadaanku, penanggungnya, memulangkanmu, membeda, kasarmu, usus"
30,8,"darinya, pelajarilah, teliti, indah, berdusta, bersenang, melaksanakannya, menyelamatkannya, celaka, kanak"
30,9,"disuruh, ketentuannya, menjuntai, usus, tamatu, membeda, munajat, menghendakinya, tersurat, penghinaan"
30,10,"menjuntai, penanggungnya, usus, ketentuannya, kursi, menghijau, kit, sahayamu, bernilai, pisau"
30,11,"malaikat, pertolongan, kaumku, betapa, dirimu, perhatikanlah, menghidupkan, kuasa, adakah, pengasih"
30,12,"allah, orang, rasul, nya, muhammad, nabi, beriman, kepadamu, kitab, kufur"
