num_topics,topic_id,words
5,0,"orang-orang, allah, orang, beriman, azab, dunia, berbuat, jalan, kafir, neraka, kufur, akhirat, sungguh, kejahatan, bertakwa"
5,1,"neraka, engkau, api, kaum, perempuan, anak, orang, mendustakan, malam, laki-laki, yatim, matahari, tanah, musa, golongan"
5,2,"maha, allah, tuhanmu, tuhan, benar-benar, kepadamu, penyayang, batas, nabi, melampaui, perkasa, kepada-nya, pengampun, tuhanku, hati"
5,3,"nabi, muhammad, allah, engkau, orang-orang, alquran, benar-benar, kepadamu, sungguh, kebenaran, kitab, rasul, petunjuk, tuhan, nyata"
5,4,"allah, bumi, manusia, langit, balasan, tuhanmu, orang-orang, menciptakan, surga, nikmat, benar-benar, sungguh, beriman, dalamnya, menjadikan"
10,0,"orang, allah, berbuat, orang-orang, balasan, kejahatan, kebaikan, kelak, kebajikan, jalan, kerjakan, perbuatan, sungguh, dosa, niscaya"
10,1,"orang, malam, anak, perempuan, laki-laki, engkau, kaum, batas, siang, melampaui, yatim, matahari, unta, mendustakan, membinasakan"
10,2,"maha, allah, tuhanmu, salat, tuhan, penyayang, perkasa, melaksanakan, pengampun, bijaksana, benar-benar, harta, mendengar, pengasih, kepada-nya"
10,3,"manusia, allah, benar-benar, alquran, nyata, orang-orang, sembah, menyembah, ibrahim, kitab, jin, sungguh, membawa, kepadamu, gembira"
10,4,"allah, bumi, langit, manusia, menciptakan, tuhanmu, tuhan, air, benar-benar, maha, sungguh, engkau, berpaling, tanda-tanda, milik"
10,5,"nabi, muhammad, engkau, allah, kepadamu, rasul, alquran, musa, kaum, sungguh, benar-benar, kitab, tuhanmu, orang, pelajaran"
10,6,"orang-orang, allah, beriman, kafir, azab, surga, kufur, mukmin, orang, hati, tuhannya, takut, dalamnya, jalan, bertakwa"
10,7,"tipu, daya, setan, bagimu, allah, makanan, rumah, menjadikan, musuh, perempuan-perempuan, pendapatmu, fajar, menjaga, tuhan, penyihir"
10,8,"neraka, api, tahukah, golongan, jalan, petunjuk, benar-benar, alam, lurus, panas, kemudahan, mendapatimu, fir'aun, orang, musa"
10,9,"orang-orang, dunia, neraka, azab, mendustakan, akhirat, kiamat, kehidupan, negeri, jahanam, sungguh, benar-benar, orang, kebenaran, zalim"
15,0,"orang, kejahatan, orang-orang, batas, melampaui, berbuat, yatim, makan, miskin, dosa, allah, jalan, berdua, manusia, berlaku"
15,1,"engkau, tuhanmu, orang, tuhanku, matahari, memperhatikan, malam, kepadamu, mendustakan, kaum, durhaka, gelap, nenek, pembalasan, gulita"
